FORMULA,NAME,NOMBRE,DENSIDAD g/mL,PESO MOLECULAR g/mol,OH,DOI-OH,Cl,DOI-Cl,NO3,DOI-NO3,O3,DOI-O3,,
CH3CH=CHCOOCH3,Methyl crotonate ,Crotonato de metilo,,,4.65E-11,https://doi.org/10.1021/jp2113889,2.20E-10,https://doi.org/10.1021/jp2113889,1.85E-15,https://doi.org/10.1039/B416574H,4.40E-18,https://doi.org/10.1002/kin.550250909, ,
CH2=C(CH3)COOCH3,Methyl methacrylate,Metilmetacrilato,,,4.15E-11,https://doi.org/10.1016/j.cplett.2006.08.088,2.82E-10,https://doi.org/10.1016/j.atmosenv.2009.08.032,3.51E-15,https://doi.org/10.1016/j.atmosenv.2010.02.039,5.75E-18,10.1002/cphc.201000404, ,
HCHO,Formaldehyde,Formaldehido,,,8.90E-12,https://doi.org/10.1002/cphc.201402159,7.33E-11,https://doi.org/10.1063/1.555918,5.80E-16,https://doi.org/10.1063/1.556011,2.09E-24,https://doi.org/10.1002/kin.550080602, ,
CH2=CHC(CH3)2OH,2-Methyl- 3-buten-2-ol,2-Metil-3-buten-2-ol,,,5.60E-11,10.1007/s10874-006-9041-y,4.70E-10,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O,8.60E-15,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O,8.60E-18,https://doi.org/10.1002/(SICI)1097-4601(1998)30:8<589::AID-KIN8>3.0.CO;2-O, ,
CH3CH=CHCH2OH,Crotyl Alcohol,Crotil alcohol,,,8.38E-11,https://doi.org/10.1021/jp7111186,3.96E-10,https://doi.org/10.1016/j.cplett.2010.12.058,3.23E-13,https://doi.org/10.1021/jp206899w,2.51E-16,https://doi.org/10.1002/kin.550261206, ,
C2H5CH=CHCH2OH,Cis 2-penten-1-Ol,Cis-2-penten-1-ol,,,1.06E-10,https://doi.org/10.1021/jp0041712,3.00E-10,https://doi.org/10.1039/C0CP00625D,3.11E-13,https://doi.org/10.1021/jp206899w,1.69E-16,https://doi.org/10.1002/kin.550261206, ,
ClCH=CCl2,Trichloroethylene,Tricloroetileno ,,,2.23E-12,https://doi.org/10.1063/1.555918,8.70E-11,https://doi.org/10.1007/s11172-010-0158-4,2.91E-16,https://doi.org/10.1063/1.556011,5.00E-20,https://doi.org/10.1063/1.556011, ,
CH2=CHCOOCH3,Methylacrylate,Metilacrilato,,,1.29E-11,https://doi.org/10.1016/j.atmosenv.2006.03.003,2.11E-10,https://doi.org/10.1016/j.atmosenv.2009.08.032,1.00E-16,DOI: 10.1039/A904613E,1.19E-18,10.1002/cphc.201000404, ,
CH2=C(CH3)CH2Cl,3-Chloro-2-methyl-1-pronene,3-Cloro-2-metil-1-propeno,,,3.57E-11,https://doi.org/10.1016/j.atmosenv.2017.09.031,2.40E-10,https://doi.org/10.1016/j.atmosenv.2017.09.031,1.99E-14,https://doi.org/10.1016/j.atmosenv.2017.09.031,3.03E-18,https://doi.org/10.1016/j.atmosenv.2017.09.031, ,
CH3C=C(CH3)COCH3,3-Methyl-3-penten-2-one,3-Metil-3-penten-2-ona,,,4.20E-11,https://doi.org/10.1016/0960-1686(92)90124-4,3.00E-10,https://doi.org/10.1039/C4CP05461J,1.55E-13,https://doi.org/10.1039/B416574H,4.07E-17,https://doi.org/10.1039/C4CP05461J, ,
C10H16,Camphene,Canfeno,,,5.67E-11,https://doi.org/10.1007/s11356-017-0646-2,3.00E-10,https://doi.org/10.1039/C8RA04931A,6.54E-13,https://doi.org/10.1016/0960-1686(90)90144-C,9.00E-19,https://doi.org/10.1016/0960-1686(90)90144-C, ,
CH3COOCH2CH=CH2,Allyl Acetate,Acetato de alilo,,,3.10E-11,https://doi.org/10.1021/acs.jpca.7b10599,1.30E-10,https://doi.org/10.1007/s11356-008-0096-y,1.10E-14,https://doi.org/10.1021/acs.jpca.7b10599,1.80E-18,https://doi.org/10.1021/acs.jpca.7b10599, ,
ClCH=CHCl,"Cis-1,2-dichloroethylene","Cis-1,2dicloroetileno",,,2.75E-12,https://doi.org/10.1021/j100154a039,1.22E-10,https://doi.org/10.1007/s11172-010-0158-4,1.39E-16,https://doi.org/10.1063/1.555887,4.90E-21, https://doi.org/10.1002/kin.20533, ,
CH2=CHCH2Cl,Allyl chloride,Cloruro de alilo,,,1.72E-11,https://doi.org/10.1016/S1352-2310(03)00297-8,7.47E-11,https://doi.org/10.1023/A:1024073012242,5.80E-16,https://doi.org/10.1039/FT9969204385,1.79E-18,https://doi.org/10.1002/kin.10093, ,
C2H5COCH=CH2,Ethyl Vinyl ketone,Etil vinil cetona,,,2.90E-11,https://doi.org/10.1016/j.cplett.2010.12.059,2.91E-10,https://doi.org/10.1016/j.cplett.2009.07.103,3.39E-14,https://doi.org/10.1016/0960-1686(92)90124-4,6.00E-18,https://doi.org/10.1002/kin.550250909, ,
CH3CH2CH(OH)CH=CH2,1-Penten-3-Ol,1-Penten-3-ol ,,,7.12E-11,https://doi.org/10.5194/acp-11-3347-2011,2.35E-10,https://doi.org/10.1039/C0CP00625D,1.39E-14,10.1016/ j.atmosenv.2006.10.034,1.79E-17,https://doi.org/10.1002/kin.550261206, ,
CH2=CHCOO(CH2)3CH3,Butylacrylate,Butilacrilato,,,2.28E-11,10.1021/jp901755x,2.50E-10,https://doi.org/10.1007/s11356-008-0096-y,2.11E-16,https://doi.org/10.1016/j.atmosenv.2010.02.039,2.40E-18,https://doi.org/10.1016/j.cplett.2009.03.070, ,
CH2=CHCOOC2H5,Ethylacrylate,Etillactato,,,1.70E-11,/10.1016/j.atmosenv.2006.03.003,2.53E-10,/10.1016/j.cplett.2009.07.103 ,1.80E-16,/10.1016/j.atmosenv.2010.02.039,1.30E-18,/10.1021/jp104451v, ,
C2H5CH=CHCH2CH2OH,Trans-3-hexen-1-ol,Trans-3-hexen-1-ol,,,1.14E-10,/10.1021/es506125c,3.42E-10,/10.1016/j.atmosenv.2014.05.050,1.56E-13,/10.1039/B510835G,5.97E-17,https://doi.org/10.1016/j.atmosenv.2020.117306, ,
C10H18O,Cineole,Cineol,,,1.11E-11,https://doi.org/10.1021/es00080a007,2.20E-10,/10.1016/j.cplett.2019.136901,1.70E-16,https://doi.org/10.1021/es00080a007,1.50E-19,/10.1002/kin.550220807,,
 C6H5CH2OH,Benzyl alcohol,Alcohol bencilico,,,2.80E-11,/10.1016/j.atmosenv.2008.11.001,9.30E-11,/10.1021/j100062a023,4.00E-15,/10.1002/kin.20726,6.00E-19,/10.1016/j.atmosenv.2008.11.001,,
C10H16,Pinene,Pineno,,,5.33E-11,https://doi.org/10.1080/00268976.2013.840395,4.70E-10,https://doi.org/10.1021/jp303221w,5.17E-12,https://doi.org/10.1016/j.atmosenv.2013.01.036,1.07E-16,https://doi.org/10.1016/j.atmosenv.2013.01.036, ,
CH3OC6H5,Anisole,Anisol,,,2.08E-11,https://doi.org/10.1021/acs.jpca.5b03232,1.07E-10,https://doi.org/10.1021/jp4114877,9.00E-17,https://doi.org/10.1021/es00164a015,,,,
CH3CH2CHO,Propanal ,Propanal,,,1.99E-11,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,1.33E-10,https://doi.org/10.1063/1.556011,6.50E-15,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,,,,
CH3COCH3,Acetone,Acetona grado HPLC,,,2.19E-13,https://doi.org/10.1063/1.556011,3.50E-12,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,3.00E-17,http://rpw.chem.ox.ac.uk/IUPACsumm_web_latest.pdf,,,,
CH3CH2CH2CHO,Butylaldehyde,Butilaldehido,,,2.38E-11,https://doi.org/10.1039/B103623H,1.44E-10,https://doi.org/10.1021/jp303221w,1.00E-14,10.1002/(SICI)1097-4601(2000)32:53.0.CO;2-G,,,,
CH?(CH?)?OH,n-Amyl alcohol,Alcohol n-amilico,,,1.00E-11,https://doi.org/10.1016/j.cplett.2013.07.042,2.90E-10,https://doi.org/10.1016/j.cplett.2013.07.042,,,,,,
CF?COOH,Trifluoroacetic acid,Ácido trifluoro acético,,,1.40E-13,https://doi.org/10.1063/1.556011,1.00E+17,https://doi.org/10.1002/kin.550270209,,,,,,
(CH3CH2CH2)2S,Dipropyl sulphide,Dipropil sulfuro,,,2.15E-11,https://doi.org/10.1002/kin.550220605,7.02E-10,https://doi.org/10.1039/FT9969200369,,,,,,
