tiempo (h),tiempo (s),factor compuesto,factor referencia,Ln(Co/Ct),Ln(Refo/Reft)
11:38:11,0,1.0860,0.8444,0.0,0.0
11:39:08,57,1.0788,0.8397,0.007,0.006
11:40:12,121,1.0735,0.8369,0.012,0.009
11:41:10,179,1.0754,0.838,0.01,0.008
11:42:10,239,1.0784,0.8396,0.007,0.006
11:43:40,0,1.0074,0.7393,0.0,0.0
11:44:54,74,0.9732,0.6858,0.035,0.075
11:46:15,155,0.9433,0.6361,0.066,0.15
11:47:12,212,0.9229,0.5989,0.088,0.211
11:48:11,271,0.9011,0.5592,0.112,0.279
11:49:09,329,0.8782,0.5201,0.137,0.352
11:50:06,386,0.857,0.4816,0.162,0.429
11:51:13,453,0.8281,0.4304,0.196,0.541
11:52:42,542,0.7965,0.376,0.235,0.676
11:54:05,625,0.7681,0.3281,0.271,0.812
11:55:31,711,0.7392,0.2827,0.31,0.961
11:57:02,802,0.7071,0.2326,0.354,1.156
11:58:51,911,0.6724,0.1829,0.404,1.397
